date,ret
2010-01-04,0.015419980314960627
2010-01-05,0.0003230371462669584
2010-01-06,-0.006136918802872062
2010-01-07,-0.010399707507312294
2010-01-08,0.006896518656928774
2010-01-11,-0.012720156555773013
2010-01-12,-0.006607201850016495
2010-01-13,0.009311606252078521
2010-01-14,0.020098813838550195
2010-01-15,-0.0032299096650487413
2010-01-19,0.007777025023427606
2010-01-20,-0.01639871382636661
2010-01-21,-0.018960444589735153
2010-01-22,-0.03498837054315234
2010-01-25,0.01243097418615244
2010-01-26,0.006139154160982255
2010-01-27,0.005762711864406837
2010-01-28,-0.01718907987866537
2010-01-29,-0.03360768175582992
2010-02-01,0.008161816891412365
2010-02-02,0.0017599084829285352
2010-02-03,0.005973296063713781
2010-02-04,-0.027593399496800477
2010-02-05,0.0064655172413793
2010-02-08,-0.010706673804425472
2010-02-09,0.010461796914206373
2010-02-10,-0.0007140307033203544
2010-02-11,0.0046445516255806925
2010-02-12,-0.006756792078350292
2010-02-16,0.015037593984962468
2010-02-17,0.00846560846560841
2010-02-18,0.013291325638335011
2010-02-19,-0.0069036591958459605
2010-02-22,-0.0013903371567604848
2010-02-23,-0.013922728854855626
2010-02-24,0.010589445817154949
2010-02-25,-0.0010478170117992865
2010-02-26,0.0024475524475524573
2010-03-01,0.012207882804325004
2010-03-02,-0.019297070985527215
2010-03-03,0.0
2010-03-04,0.005973296063713781
2010-03-05,-0.0013971009918651454
2010-03-08,0.001399055613850931
2010-03-09,0.005937827661118735
2010-03-10,0.005902777982735283
2010-03-11,0.007248912918498958
2010-03-12,0.0030843043180260404
2010-03-15,0.000683327639221066
2010-03-16,0.002731307520269523
2010-03-17,0.008852502252212928
2010-03-18,-0.0006749240862275263
2010-03-19,-0.0006754812335197355
2010-03-22,0.0003379520108145172
2010-03-23,0.00945942567567556
2010-03-24,-0.007697423283046275
2010-03-25,0.012141652613828095
2010-03-26,-0.011662779073642167
2010-03-29,-0.002360080917060023
2010-03-30,0.006083136194660349
2010-03-31,-0.01612358078602618
2010-04-01,-0.004438408861781876
2010-04-05,0.0037722908093278267
2010-04-06,0.0017082336863683196
2010-04-07,0.0010231923601637495
2010-04-08,0.019420783645655887
2010-04-09,0.014037433155080152
2010-04-12,-0.0006591957811469866
2010-04-13,0.004287631926121373
2010-04-14,0.01215103408370988
2010-04-15,0.0016223556132382135
2010-04-16,-0.006478814173021903
2010-04-19,0.012063938702314916
2010-04-20,0.01030927801838667
2010-04-21,-0.0009566645103105119
2010-04-22,0.0019150654324928582
2010-04-23,-0.013698630573387395
2010-04-26,0.0048450259962863895
2010-04-27,-0.008357473212553064
2010-04-28,0.0019448946515396668
2010-04-29,0.0029116790682626936
2010-04-30,-0.014838677419354834
2010-05-03,0.010478061215518633
2010-05-04,-0.023655281151805617
2010-05-05,-0.009293030510887059
2010-05-06,-0.02914572864321611
2010-05-07,-0.02657008281573501
2010-05-10,0.025877420272152524
2010-05-11,-0.0020733240472246123
2010-05-12,0.019390651640950694
2010-05-13,-0.00679351199750312
2010-05-14,-0.010601915184678479
2010-05-17,0.0003456965088144691
2010-05-18,-0.011748479207032538
2010-05-19,-0.01258741258741269
2010-05-20,-0.04001412889518407
2010-05-21,-0.009959461085966046
2010-05-24,-0.021236959761549937
2010-05-25,-0.007613247049866741
2010-05-26,-0.04065976217874947
2010-05-27,0.03958416633346655
2010-05-28,-0.007692346153846166
2010-06-01,0.0034883722282314763
2010-06-02,0.022016223330097475
2010-06-03,0.015117234131414768
2010-06-04,-0.039836186156508344
2010-06-07,-0.019387358689904665
2010-06-08,-0.007117437440987041
2010-06-09,-0.012743926214897413
2010-06-10,0.008471117044327663
2010-06-11,0.026400000000000007
2010-06-14,-0.006235385814497277
2010-06-15,0.042352941176470524
2010-06-16,-0.009781790820165464
2010-06-17,0.0018997340425532575
2010-06-18,0.0026545315641057533
2010-06-21,-0.018532525774110294
2010-06-22,-0.006936454453315849
2010-06-23,-0.01785025223127675
2010-06-24,-0.012248084245281784
2010-06-25,-0.018799959999999914
2010-06-28,-0.00896869103266667
2010-06-29,-0.04113533694509819
2010-06-30,-0.012869970522092093
2010-07-01,0.0065189048239895075
2010-07-02,0.0047495682210707876
2010-07-06,0.023635582294800204
2010-07-07,0.020151091519731292
2010-07-08,0.004526790309744476
2010-07-09,-0.005735354362966021
2010-07-12,0.023073753605273948
2010-07-13,0.012082118405155043
2010-07-14,0.01233593363851723
2010-07-15,0.002751532910710155
2010-07-16,-0.02430423363386915
2010-07-19,0.013660145185220815
2010-07-20,0.009908838684106223
2010-07-21,-0.01412868916797482
2010-07-22,0.02866237943223003
2010-07-23,-0.0011610294117647896
2010-07-26,0.011235994236187445
2010-07-27,0.0022988505747125946
2010-07-28,-0.008027484709480115
2010-07-29,0.0030828515189653305
2010-07-30,-0.00845186291003233
2010-08-02,0.020147269281180546
2010-08-03,-0.006456513482719262
2010-08-04,-0.01643730886850152
2010-08-05,-0.013991410804508294
2010-08-06,0.00709491497457953
2010-08-09,0.002348414964712945
2010-08-10,-0.0210855516952147
2010-08-11,-0.008376505783805338
2010-08-12,-0.014883386368327258
2010-08-13,-0.0036749693752552008
2010-08-16,0.004098360655737763
2010-08-17,0.008571387755102034
2010-08-18,0.004451679662148123
2010-08-19,-0.015310193392425382
2010-08-20,-0.008592511923383386
2010-08-23,0.002063598844407831
2010-08-24,-0.009884678340828816
2010-08-25,0.002495798565066667
2010-08-26,-0.011618257261410836
2010-08-27,0.004617968094038599
2010-08-30,-0.012118721270371925
2010-08-31,-0.007191201657834322
