date,ret
2010-01-04,-0.004609054278648458
2010-01-05,0.005899985327855954
2010-01-06,-0.018115687606864782
2010-01-07,-0.017013232514177693
2010-01-08,0.027076953846153846
2010-01-11,-0.024041386337885315
2010-01-12,-0.022715064426599162
2010-01-13,0.013820204378801888
2010-01-14,-0.01363180997884131
2010-01-15,-0.0016489909956653181
2010-01-19,0.003696728045435912
2010-01-20,-0.01434058448130561
2010-01-21,0.006678359092688443
2010-01-22,-0.04098880806376217
2010-01-25,-0.009223437371325156
2010-01-26,-0.0068988032066960615
2010-01-27,0.027368571458773763
2010-01-28,0.026720969450101863
2010-01-29,-0.004919423985713139
2010-02-01,-0.05214895774981399
2010-02-02,-0.0063094134859237785
2010-02-03,0.008296604936591496
2010-02-04,-0.02653229263698218
2010-02-05,0.012506442772012339
2010-02-08,-0.004770397859872166
2010-02-09,0.01027130856336026
2010-02-10,-0.005676506021151511
2010-02-11,0.023261715889044705
2010-02-12,-0.0035805813500068614
2010-02-16,-0.01780047575462221
2010-02-17,-0.010380337023571407
2010-02-18,0.015217986677293335
2010-02-19,-0.004742589689319313
2010-02-22,0.0041695457156963375
2010-02-23,-0.006524904558513609
2010-02-24,0.021153215986919383
2010-02-25,-0.012696324651717971
2010-02-26,0.0016920897214574755
2010-03-01,0.05185809878618079
2010-03-02,0.007949237129040974
2010-03-03,0.002867840379732652
2010-03-04,0.020970688863060524
2010-03-05,0.0029565471326270785
2010-03-08,0.009308796546154758
2010-03-09,-0.00991464138102656
2010-03-10,0.013118987021946051
2010-03-11,0.023523156214970385
2010-03-12,-0.013175587465554937
2010-03-15,-0.005234425454096605
2010-03-16,0.005033081482761859
2010-03-17,-0.003414500522812808
2010-03-18,0.010811626642656657
2010-03-19,-0.018152975977439558
2010-03-22,0.0009205599883132245
2010-03-23,-0.009274208559253348
2010-03-24,-0.009438357165339688
2010-03-25,0.05224932338132836
2010-03-26,0.002449358047928744
2010-03-29,0.00044422479556072126
2010-03-30,0.010805262389182436
2010-03-31,-0.005930575400050201
2010-04-01,-0.029167016891300915
2010-04-05,-0.0024276838241057467
2010-04-06,0.030952869763751327
2010-04-07,-0.005090019254795346
2010-04-08,0.045154683960654335
2010-04-09,-0.006384853542182438
2010-04-12,0.008139361818354366
2010-04-13,-0.007365389674901915
2010-04-14,0.029394940656537
2010-04-15,0.01067374556885047
2010-04-16,-0.025030920482674312
2010-04-19,0.001828761367781714
2010-04-20,0.012427185894757435
2010-04-21,0.015464605037405097
2010-04-22,0.024994899781221658
2010-04-23,-0.04304078334441407
2010-04-26,0.024228892841715068
2010-04-27,-0.03459993858609253
2010-04-28,-0.018800154378252183
2010-04-29,0.017079224237708263
2010-04-30,-0.03266767890122563
2010-05-03,0.0028446315312341333
2010-05-04,-0.05571316256770802
2010-05-05,0.008472548587036059
2010-05-06,-0.016955519122344852
2010-05-07,-0.028979906744935703
2010-05-10,0.0504879968677868
2010-05-11,-0.006321776557638804
2010-05-12,0.02613818654785117
2010-05-13,-0.017927796292216136
2010-05-14,-0.02236253120588318
2010-05-17,0.0029565471326270785
2010-05-18,-0.020401868888313825
2010-05-19,-0.01338298236761947
2010-05-20,-0.03916844976863153
2010-05-21,0.02514411515449098
2010-05-24,-0.004889162280890133
2010-05-25,0.022436930336465846
2010-05-26,-0.013214816488748872
2010-05-27,0.028325606917665832
2010-05-28,-0.009786882631102193
2010-06-01,-0.017694890942889268
2010-06-02,0.024910743669437525
2010-06-03,0.019396698905814334
2010-06-04,-0.046520644863336624
2010-06-07,-0.006190396827980728
2010-06-08,-0.025981525678525935
2010-06-09,-0.007825580875987228
2010-06-10,0.04494949385295582
2010-06-11,-0.0014609203916963966
2010-06-14,0.006502503507295028
2010-06-15,0.024307469525842305
2010-06-16,0.0004730842154867408
2010-06-17,-0.00795904636786371
2010-06-18,-0.00047658273474126915
2010-06-21,-0.02606690731833576
2010-06-22,-0.001958425084657164
2010-06-23,-0.007031322165502749
2010-06-24,-0.025689543656390448
2010-06-25,0.02256399860451276
2010-06-28,-0.026446256198347076
2010-06-29,-0.07801359733411897
2010-06-30,0.005984725108325919
2010-07-01,0.015559188805433083
2010-07-02,-0.016402307285529025
2010-07-06,0.008429530955007522
2010-07-07,0.030619680730868393
2010-07-08,0.024596676364277432
2010-07-09,0.00894855438867191
2010-07-12,0.019188128616951586
2010-07-13,0.03464145201838421
2010-07-14,-0.0028305620245764073
2010-07-15,-0.010056812407376913
2010-07-16,-0.02924791134274796
2010-07-19,0.012237353569708112
2010-07-20,0.0013339669612477784
2010-07-21,-0.02223145748928316
2010-07-22,0.022481478327514147
2010-07-23,-0.009994145082035449
2010-07-26,-0.003953907530396852
2010-07-27,-0.010726393399891983
2010-07-28,0.0
2010-07-29,-0.002305096959918868
2010-07-30,0.008813948238799059
2010-08-02,0.018491823042597447
2010-08-03,0.019571899725160317
2010-08-04,0.04215000885721314
2010-08-05,0.001959554758433065
2010-08-06,0.0038332550444612873
2010-08-09,0.003974399720847923
2010-08-10,0.009081719955263157
2010-08-11,-0.03161539230769228
2010-08-12,0.005322098699833892
2010-08-13,-0.014775569133621401
2010-08-16,0.011067431051929779
2010-08-17,0.022130570318077403
2010-08-18,0.006130630093662511
2010-08-19,-0.016043147676505092
2010-08-20,0.0014893940581641992
2010-08-23,-0.009079555274271213
2010-08-24,-0.016350703259884695
2010-08-25,0.018630041103589793
2010-08-26,-0.015687796857513567
2010-08-27,0.014255950550569083
2010-08-30,-0.02250472222445295
2010-08-31,0.008401332834628572
2010-09-01,0.0613634773473767
